2 100 11,9 13,1 13,4 13,8 14,2 15,8 18,0 20,4 25,9 11,9 13,0 14,2 15,8 17,9 20,9 25,3
2 128 12,5 13,9 14,2 14,7 15,1 17,0 19,7 22,8 30,4 12,6 13,7 15,2 17,0 19,6 23,3 29,6
2 129 12,5 13,9 14,2 14,8 15,1 17,1 19,8 22,9 30,5 12,6 13,8 15,2 17,1 19,6 23,4 29,7
2 130 12,6 14,0 14,3 14,8 15,2 17,1 19,8 23,0 30,7 12,7 13,8 15,3 17,1 19,7 23,5 29,9
2 131 12,6 14,0 14,3 14,9 15,2 17,2 19,9 23,1 30,8 12,7 13,8 15,3 17,2 19,8 23,6 30,0
2 132 12,6 14,0 14,4 14,9 15,3 17,2 20,0 23,2 31,0 12,7 13,9 15,3 17,2 19,9 23,7 30,2
2 133 12,7 14,1 14,4 14,9 15,3 17,3 20,0 23,3 31,2 12,8 13,9 15,4 17,3 19,9 23,8 30,3
2 134 12,7 14,1 14,4 15,0 15,4 17,4 20,1 23,4 31,3 12,8 14,0 15,4 17,4 20,0 23,9 30,5
2 135 12,7 14,2 14,5 15,0 15,4 17,4 20,2 23,5 31,5 12,8 14,0 15,5 17,4 20,1 24,0 30,6
2 136 12,8 14,2 14,5 15,1 15,5 17,5 20,3 23,6 31,6 12,9 14,0 15,5 17,5 20,2 24,1 30,8
2 137 12,8 14,2 14,6 15,1 15,5 17,5 20,4 23,7 31,8 12,9 14,1 15,6 17,5 20,2 24,2 30,9
2 138 12,8 14,3 14,6 15,2 15,6 17,6 20,4 23,8 31,9 12,9 14,1 15,6 17,6 20,3 24,3 31,1
2 139 12,9 14,3 14,7 15,2 15,6 17,7 20,5 23,9 32,1 13,0 14,2 15,7 17,7 20,4 24,4 31,2
2 140 12,9 14,4 14,7 15,3 15,7 17,7 20,6 24,0 32,2 13,0 14,2 15,7 17,7 20,5 24,5 31,4
2 141 12,9 14,4 14,8 15,3 15,7 17,8 20,7 24,1 32,4 13,0 14,3 15,8 17,8 20,6 24,7 31,5
2 142 13,0 14,5 14,8 15,4 15,8 17,9 20,8 24,2 32,5 13,1 14,3 15,8 17,9 20,6 24,8 31,6
2 143 13,0 14,5 14,9 15,4 15,8 17,9 20,8 24,3 32,6 13,1 14,3 15,9 17,9 20,7 24,9 31,8
2 144 13,1 14,6 14,9 15,5 15,9 18,0 20,9 24,4 32,8 13,2 14,4 16,0 18,0 20,8 25,0 31,9
2 145 13,1 14,6 15,0 15,5 15,9 18,1 21,0 24,5 32,9 13,2 14,4 16,0 18,1 20,9 25,1 32,0
2 146 13,1 14,6 15,0 15,6 16,0 18,1 21,1 24,6 33,1 13,2 14,5 16,1 18,1 21,0 25,2 32,2
2 147 13,2 14,7 15,0 15,6 16,1 18,2 21,2 24,7 33,2 13,3 14,5 16,1 18,2 21,1 25,3 32,3
2 148 13,2 14,7 15,1 15,7 16,1 18,3 21,3 24,8 33,3 13,3 14,6 16,2 18,3 21,1 25,4 32,4
2 149 13,2 14,8 15,1 15,7 16,2 18,3 21,3 24,9 33,5 13,3 14,6 16,2 18,3 21,2 25,5 32,6
2 150 13,3 14,8 15,2 15,8 16,2 18,4 21,4 25,0 33,6 13,4 14,7 16,3 18,4 21,3 25,6 32,7
2 151 13,3 14,9 15,2 15,8 16,3 18,5 21,5 25,1 33,7 13,4 14,7 16,3 18,5 21,4 25,7 32,8
2 152 13,4 14,9 15,3 15,9 16,3 18,5 21,6 25,2 33,9 13,5 14,8 16,4 18,5 21,5 25,8 33,0
2 153 13,4 15,0 15,3 15,9 16,4 18,6 21,7 25,3 34,0 13,5 14,8 16,4 18,6 21,6 25,9 33,1
2 154 13,4 15,0 15,4 16,0 16,4 18,7 21,8 25,4 34,1 13,5 14,8 16,5 18,7 21,6 26,0 33,2
2 155 13,5 15,1 15,4 16,0 16,5 18,7 21,8 25,5 34,2 13,6 14,9 16,6 18,7 21,7 26,1 33,3
2 156 13,5 15,1 15,5 16,1 16,5 18,8 21,9 25,6 34,3 13,6 14,9 16,6 18,8 21,8 26,2 33,4
2 157 13,5 15,2 15,5 16,1 16,6 18,9 22,0 25,7 34,4 13,6 15,0 16,7 18,9 21,9 26,3 33,6
2 158 13,6 15,2 15,6 16,2 16,7 18,9 22,1 25,8 34,6 13,7 15,0 16,7 18,9 22,0 26,4 33,7
2 159 13,6 15,3 15,6 16,3 16,7 19,0 22,2 25,9 34,7 13,7 15,1 16,8 19,0 22,0 26,5 33,8
2 160 13,6 15,3 15,7 16,3 16,8 19,1 22,3 26,0 34,8 13,8 15,1 16,8 19,1 22,1 26,6 33,9
2 161 13,7 15,3 15,7 16,4 16,8 19,1 22,3 26,0 34,9 13,8 15,2 16,9 19,1 22,2 26,7 34,0
2 162 13,7 15,4 15,8 16,4 16,9 19,2 22,4 26,1 35,0 13,8 15,2 16,9 19,2 22,3 26,8 34,1
2 163 13,7 15,4 15,8 16,5 16,9 19,3 22,5 26,2 35,1 13,9 15,2 17,0 19,3 22,4 26,9 34,2
2 164 13,8 15,5 15,9 16,5 17,0 19,3 22,6 26,3 35,2 13,9 15,3 17,0 19,3 22,4 27,0 34,3
2 165 13,8 15,5 15,9 16,5 17,0 19,4 22,6 26,4 35,3 13,9 15,3 17,1 19,4 22,5 27,1 34,4
2 166 13,8 15,6 15,9 16,6 17,1 19,4 22,7 26,5 35,4 14,0 15,4 17,1 19,4 22,6 27,1 34,5
2 167 13,9 15,6 16,0 16,6 17,1 19,5 22,8 26,6 35,5 14,0 15,4 17,2 19,5 22,7 27,2 34,6
2 168 13,9 15,6 16,0 16,7 17,2 19,6 22,9 26,7 35,5 14,0 15,4 17,2 19,6 22,7 27,3 34,7
2 169 13,9 15,7 16,1 16,7 17,2 19,6 22,9 26,8 35,6 14,1 15,5 17,3 19,6 22,8 27,4 34,7
2 170 14,0 15,7 16,1 16,8 17,3 19,7 23,0 26,8 35,7 14,1 15,5 17,3 19,7 22,9 27,5 34,8
2 171 14,0 15,8 16,2 16,8 17,3 19,7 23,1 26,9 35,8 14,1 15,6 17,4 19,7 22,9 27,6 34,9
2 172 14,0 15,8 16,2 16,9 17,4 19,8 23,2 27,0 35,9 14,1 15,6 17,4 19,8 23,0 27,7 35,0
2 173 14,1 15,8 16,2 16,9 17,4 19,9 23,2 27,1 36,0 14,2 15,6 17,5 19,9 23,1 27,7 35,1
2 174 14,1 15,9 16,3 17,0 17,4 19,9 23,3 27,1 36,0 14,2 15,7 17,5 19,9 23,1 27,8 35,1
2 175 14,1 15,9 16,3 17,0 17,5 20,0 23,4 27,2 36,1 14,2 15,7 17,6 20,0 23,2 27,9 35,2
2 176 14,1 15,9 16,4 17,0 17,5 20,0 23,4 27,3 36,2 14,3 15,7 17,6 20,0 23,3 28,0 35,3
2 177 14,2 16,0 16,4 17,1 17,6 20,1 23,5 27,4 36,2 14,3 15,8 17,6 20,1 23,3 28,0 35,4
2 178 14,2 16,0 16,4 17,1 17,6 20,1 23,5 27,4 36,3 14,3 15,8 17,7 20,1 23,4 28,1 35,4
2 179 14,2 16,0 16,5 17,1 17,6 20,2 23,6 27,5 36,3 14,3 15,8 17,7 20,2 23,5 28,2 35,5
2 180 14,2 16,1 16,5 17,2 17,7 20,2 23,7 27,6 36,4 14,4 15,9 17,8 20,2 23,5 28,2 35,5
2 181 14,3 16,1 16,5 17,2 17,7 20,3 23,7 27,6 36,5 14,4 15,9 17,8 20,3 23,6 28,3 35,6
2 182 14,3 16,1 16,6 17,3 17,8 20,3 23,8 27,7 36,5 14,4 15,9 17,8 20,3 23,6 28,4 35,7
2 183 14,3 16,2 16,6 17,3 17,8 20,3 23,8 27,7 36,6 14,4 16,0 17,9 20,4 23,7 28,4 35,7
2 184 14,3 16,2 16,6 17,3 17,8 20,4 23,9 27,8 36,6 14,5 16,0 17,9 20,4 23,7 28,5 35,8
2 185 14,3 16,2 16,6 17,4 17,9 20,4 23,9 27,9 36,7 14,5 16,0 17,9 20,4 23,8 28,5 35,8
2 186 14,4 16,2 16,7 17,4 17,9 20,5 24,0 27,9 36,7 14,5 16,0 18,0 20,5 23,8 28,6 35,8
2 187 14,4 16,3 16,7 17,4 17,9 20,5 24,0 28,0 36,7 14,5 16,1 18,0 20,5 23,9 28,6 35,9
2 188 14,4 16,3 16,7 17,4 18,0 20,6 24,1 28,0 36,8 14,5 16,1 18,0 20,6 23,9 28,7 35,9
2 189 14,4 16,3 16,8 17,5 18,0 20,6 24,1 28,1 36,8 14,5 16,1 18,1 20,6 24,0 28,7 36,0
2 190 14,4 16,3 16,8 17,5 18,0 20,6 24,2 28,1 36,8 14,6 16,1 18,1 20,6 24,0 28,8 36,0
2 191 14,4 16,4 16,8 17,5 18,0 20,7 24,2 28,2 36,9 14,6 16,2 18,1 20,7 24,1 28,8 36,0
2 192 14,5 16,4 16,8 17,5 18,1 20,7 24,2 28,2 36,9 14,6 16,2 18,2 20,7 24,1 28,9 36,1
2 193 14,5 16,4 16,8 17,6 18,1 20,7 24,3 28,2 36,9 14,6 16,2 18,2 20,7 24,1 28,9 36,1
2 194 14,5 16,4 16,9 17,6 18,1 20,8 24,3 28,3 36,9 14,6 16,2 18,2 20,8 24,2 29,0 36,1
2 195 14,5 16,4 16,9 17,6 18,1 20,8 24,4 28,3 37,0 14,6 16,2 18,2 20,8 24,2 29,0 36,1
2 196 14,5 16,5 16,9 17,6 18,2 20,8 24,4 28,4 37,0 14,6 16,2 18,3 20,8 24,3 29,0 36,2
2 197 14,5 16,5 16,9 17,7 18,2 20,9 24,4 28,4 37,0 14,6 16,3 18,3 20,9 24,3 29,1 36,2
2 198 14,5 16,5 16,9 17,7 18,2 20,9 24,5 28,4 37,0 14,7 16,3 18,3 20,9 24,3 29,1 36,2
2 199 14,5 16,5 17,0 17,7 18,2 20,9 24,5 28,5 37,0 14,7 16,3 18,3 20,9 24,4 29,1 36,2
2 200 14,5 16,5 17,0 17,7 18,3 20,9 24,5 28,5 37,0 14,7 16,3 18,3 20,9 24,4 29,2 36,2
2 201 14,5 16,5 17,0 17,7 18,3 21,0 24,6 28,5 37,1 14,7 16,3 18,4 21,0 24,4 29,2 36,3
2 202 14,6 16,6 17,0 17,8 18,3 21,0 24,6 28,6 37,1 14,7 16,3 18,4 21,0 24,4 29,2 36,3
2 203 14,6 16,6 17,0 17,8 18,3 21,0 24,6 28,6 37,1 14,7 16,3 18,4 21,0 24,5 29,3 36,3
2 204 14,6 16,6 17,0 17,8 18,3 21,0 24,7 28,6 37,1 14,7 16,4 18,4 21,0 24,5 29,3 36,3
2 205 14,6 16,6 17,0 17,8 18,3 21,1 24,7 28,6 37,1 14,7 16,4 18,4 21,1 24,5 29,3 36,3
2 206 14,6 16,6 17,1 17,8 18,4 21,1 24,7 28,7 37,1 14,7 16,4 18,4 21,1 24,6 29,3 36,3
2 207 14,6 16,6 17,1 17,8 18,4 21,1 24,7 28,7 37,1 14,7 16,4 18,5 21,1 24,6 29,4 36,3
2 208 14,6 16,6 17,1 17,8 18,4 21,1 24,8 28,7 37,1 14,7 16,4 18,5 21,1 24,6 29,4 36,3
2 209 14,6 16,6 17,1 17,8 18,4 21,1 24,8 28,7 37,1 14,7 16,4 18,5 21,1 24,6 29,4 36,3
2 210 14,6 16,6 17,1 17,9 18,4 21,2 24,8 28,8 37,1 14,7 16,4 18,5 21,2 24,6 29,4 36,3
2 211 14,6 16,6 17,1 17,9 18,4 21,2 24,8 28,8 37,1 14,7 16,4 18,5 21,2 24,7 29,4 36,3
2 212 14,6 16,7 17,1 17,9 18,4 21,2 24,8 28,8 37,1 14,7 16,4 18,5 21,2 24,7 29,5 36,3
2 213 14,6 16,7 17,1 17,9 18,5 21,2 24,9 28,8 37,1 14,7 16,4 18,5 21,2 24,7 29,5 36,3
2 214 14,6 16,7 17,1 17,9 18,5 21,2 24,9 28,8 37,0 14,7 16,4 18,5 21,2 24,7 29,5 36,3
2 215 14,6 16,7 17,1 17,9 18,5 21,2 24,9 28,9 37,0 14,7 16,4 18,6 21,2 24,8 29,5 36,3
2 216 14,6 16,7 17,1 17,9 18,5 21,3 24,9 28,9 37,0 14,7 16,4 18,6 21,3 24,8 29,5 36,3
2 217 14,6 16,7 17,2 17,9 18,5 21,3 24,9 28,9 37,0 14,7 16,5 18,6 21,3 24,8 29,5 36,3
2 218 14,6 16,7 17,2 17,9 18,5 21,3 25,0 28,9 37,0 14,7 16,5 18,6 21,3 24,8 29,6 36,3
2 219 14,6 16,7 17,2 18,0 18,5 21,3 25,0 28,9 37,0 14,7 16,5 18,6 21,3 24,8 29,6 36,3
2 220 14,6 16,7 17,2 18,0 18,5 21,3 25,0 28,9 37,0 14,7 16,5 18,6 21,3 24,8 29,6 36,3
2 221 14,6 16,7 17,2 18,0 18,5 21,3 25,0 28,9 37,0 14,7 16,5 18,6 21,3 24,9 29,6 36,2
2 222 14,6 16,7 17,2 18,0 18,5 21,3 25,0 29,0 37,0 14,7 16,5 18,6 21,3 24,9 29,6 36,2
2 223 14,6 16,7 17,2 18,0 18,6 21,4 25,0 29,0 37,0 14,7 16,5 18,6 21,4 24,9 29,6 36,2
2 224 14,6 16,7 17,2 18,0 18,6 21,4 25,1 29,0 36,9 14,7 16,5 18,6 21,4 24,9 29,6 36,2
2 225 14,6 16,7 17,2 18,0 18,6 21,4 25,1 29,0 36,9 14,7 16,5 18,7 21,4 24,9 29,6 36,2
2 226 14,6 16,7 17,2 18,0 18,6 21,4 25,1 29,0 36,9 14,7 16,5 18,7 21,4 24,9 29,6 36,2
2 227 14,6 16,7 17,2 18,0 18,6 21,4 25,1 29,0 36,9 14,7 16,5 18,7 21,4 25,0 29,7 36,2
2 228 14,6 16,7 17,2 18,0 18,6 21,4 25,1 29,0 36,9 14,7 16,5 18,7 21,4 25,0 29,7 36,2
